iter	Passed	Remaining
947	8326	456
948	8332	447
949	8342	439
950	8349	430
951	8357	421
952	8363	412
953	8369	403
954	8377	394
955	8384	385
956	8391	377
957	8401	368
958	8407	359
959	8414	350
960	8421	341
961	8427	332
962	8435	324
963	8442	315
964	8447	306
965	8456	297
966	8463	288
967	8469	279
968	8477	271
969	8486	262
970	8494	253
971	8501	244
972	8507	236
973	8517	227
974	8522	218
975	8528	209
976	8537	200
977	8543	192
978	8549	183
979	8557	174
980	8563	165
981	8570	157
982	8577	148
983	8585	139
984	8595	130
985	8601	122
986	8608	113
987	8615	104
988	8621	95
989	8629	87
990	8636	78
991	8641	69
992	8649	60
993	8656	52
994	8662	43
995	8671	34
996	8679	26
997	8687	17
998	8694	8
999	8700	0
